0.0,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Mashable,3,7,5,8,8,4,5,12,5,1,4,10,7,3,4,9,2,3,10,6,
Wall Street Journal,16,2,6,4,10,3,4,7,7,8,9,3,1,4,3,5,9,4,2,6,

0.12,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,41,2,17,2,6,1,4,1,11,2,6,5,2,1,1,3,0,0,4,0,
The Telegraph,3,3,4,1,4,2,1,0,0,0,2,0,1,3,0,2,3,0,3,0,
ESPN,27,4,37,2,3,1,3,4,3,0,5,1,0,2,0,3,2,0,1,2,
Huffington Post,0,1,2,1,3,2,1,1,4,4,4,0,1,5,2,3,1,0,1,1,
Fox News,8,0,3,6,19,3,3,4,3,0,7,4,3,13,4,2,4,0,1,2,
BBC News (UK),0,3,0,3,3,1,1,1,0,6,3,0,1,4,1,1,3,1,1,1,
BuzzFeed,3,1,0,1,2,0,3,1,0,1,1,2,0,1,2,3,1,0,2,0,
The New York Times,1,0,3,0,8,1,1,2,3,0,5,3,0,11,1,2,5,0,2,4,
Yahoo,6,2,6,2,2,2,2,7,4,1,1,0,0,2,0,1,2,0,3,1,
The Guardian ,1,0,3,2,8,3,2,2,0,4,2,0,1,7,2,4,4,1,2,0,
NBC News,4,2,6,3,14,2,3,5,1,2,12,2,3,10,2,2,10,2,4,4,
Forbes,1,1,5,1,3,1,1,0,0,1,1,2,1,0,2,3,2,0,2,1,
Daily Mail Online,5,1,2,1,2,0,3,2,0,3,2,0,3,10,0,2,7,0,3,1,
ABC News,7,0,2,3,15,1,5,5,2,2,5,1,5,13,3,2,11,0,5,4,
Business Insider,5,0,2,3,7,5,0,4,3,1,3,0,3,9,7,3,7,0,4,3,
Washington Post,2,1,1,4,2,0,0,2,3,1,1,1,3,2,1,4,3,2,1,1,
CNN,1,4,1,3,5,2,2,4,5,1,9,1,1,8,3,1,10,1,2,3,
The Independent,0,1,2,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,
Mashable,1,2,3,1,7,0,0,1,3,2,1,1,0,1,1,1,2,1,6,0,
Wall Street Journal,4,5,2,2,2,0,0,3,0,1,3,1,0,4,2,4,1,1,1,4,

0.13,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,94,1,32,8,2,0,11,4,7,2,3,7,2,1,2,1,2,1,3,4,
The Telegraph,6,7,1,1,10,3,4,2,3,4,8,3,5,3,3,4,1,3,9,4,
ESPN,25,5,39,5,3,2,8,4,9,7,3,7,0,0,6,3,2,2,6,5,
Huffington Post,1,2,3,7,10,2,3,7,5,8,4,10,2,12,3,4,6,2,5,4,
Fox News,5,4,3,7,18,2,3,5,7,5,19,0,8,26,5,10,5,3,15,7,
BBC News (UK),2,8,3,0,6,7,4,3,7,8,9,4,2,4,3,5,2,3,5,0,
BuzzFeed,2,6,4,8,2,3,17,12,2,5,6,5,8,8,7,8,7,6,4,3,
The New York Times,2,2,3,8,12,3,10,18,6,4,9,4,3,9,8,11,5,6,11,3,
Yahoo,13,4,10,7,11,4,9,5,8,5,7,3,3,5,9,9,6,7,7,3,
